,Top_10_Song,Performer_Count,Song_Name_Count,Debut_Position,Song_Name_Count,Performer_Count,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Debut_Season,Debut_Month,Debut_Decade,Key,Mode,Time_Signature
158,1,1,1,54,1,1,0.519,0.502,-6.289,0.719,0.0,0.226,0.759,76.545,2.50355,Fall,November,50's,E,Minor,4/4
159,1,32,1,65,1,32,0.731,0.832,-10.336,0.901,0.53,0.219,0.974,96.557,1.82355,Fall,November,50's,Bb,Minor,4/4
160,0,8,1,77,1,8,0.701,0.487,-12.588,0.434,0.0,0.117,0.957,167.643,1.5126666666666666,Fall,November,50's,G,Major,4/4
161,0,4,1,86,1,4,0.595,0.343,-16.553,0.719,0.0,0.0793,0.637,76.66,2.3371166666666667,Fall,November,50's,F#,Major,4/4
162,0,23,1,92,1,23,0.473,0.433,-9.913,0.833,0.0,0.117,0.598,125.182,2.40155,Fall,November,50's,E,Major,3/4
163,0,11,1,98,1,11,0.5,0.195,-7.529,0.442,0.0,0.103,0.69,111.252,2.8537333333333335,Fall,November,50's,G,Major,3/4
164,0,2,2,100,2,2,0.637,0.397,-12.149,0.251,4.85e-06,0.255,0.713,124.206,2.9582166666666665,Fall,November,50's,D,Minor,4/4
165,1,32,1,30,1,32,0.206,0.865,-10.77,0.823,0.882,0.75,0.59,91.01,3.09755,Fall,November,50's,E,Major,4/4
166,1,26,2,51,2,26,0.738,0.43,-10.93,0.764,0.0,0.0863,0.867,128.132,2.0233333333333334,Fall,November,50's,B,Major,4/4
167,0,14,1,67,1,14,0.715,0.39,-10.974,0.498,0.0,0.065,0.769,89.272,2.2933333333333334,Fall,November,50's,B,Major,4/4
168,0,1,1,79,1,1,0.704,0.832,-9.939,0.291,0.17,0.0667,0.973,155.944,2.556216666666667,Fall,November,50's,G#,Major,4/4
169,0,18,1,80,1,18,0.527,0.763,-12.486,0.576,0.000249,0.482,0.965,165.234,2.2333333333333334,Fall,November,50's,C,Major,4/4
170,0,1,3,81,3,1,0.262,0.403,-11.578,0.788,0.00474,0.0649,0.315,85.171,2.892,Fall,November,50's,C,Major,4/4
171,0,4,1,92,1,4,0.652,0.656,-7.156,0.259,0.0509,0.142,0.771,161.895,2.5311166666666667,Fall,November,50's,G,Major,4/4
172,0,1,1,93,1,1,0.788,0.785,-9.406,0.337,4.95e-05,0.35,0.605,109.113,2.71045,Fall,November,50's,F,Major,4/4
173,0,1,2,94,2,1,0.466,0.527,-9.971,0.758,0.0,0.59,0.715,115.781,2.140216666666667,Fall,November,50's,G,Major,4/4
174,0,1,1,95,1,1,0.499,0.363,-8.65,0.717,0.0,0.0838,0.499,96.041,2.4273333333333333,Fall,November,50's,C#,Major,3/4
175,0,2,1,97,1,2,0.489,0.252,-12.149,0.743,2.32e-06,0.22,0.366,113.371,2.187316666666667,Fall,November,50's,C,Major,4/4
176,0,1,1,100,1,1,0.472,0.869,-2.374,0.655,1.58e-05,0.104,0.831,163.777,2.140216666666667,Fall,November,50's,C,Major,4/4
177,0,4,2,71,2,4,0.377,0.245,-13.161,0.86,4.04e-06,0.219,0.279,84.47,2.8433333333333333,Fall,November,50's,G,Major,3/4
